S   UID   PID  PPID  C PRI  NI   RSS    SZ WCHAN  TTY          TIME CMD
S     0 15457     2  0  80   0     0     0 -      ?        00:00:00 kworker/0:2
S     0 16756     2  0  80   0     0     0 -      ?        00:00:00 kworker/1:0
S  1000 17887  1383  0  80   0 111140 1170285 futex_ ?     00:00:01 chrome
S  1000 17900  1383  4  80   0 145336 1186496 futex_ ?     00:00:56 chrome
S  1000 17946  1383  0  80   0 107216 1170109 futex_ ?     00:00:01 chrome
S     0 18796     2  0  80   0     0     0 -      ?        00:00:00 kworker/0:0
S     0 18868     2  0  60 -20     0     0 -      ?        00:00:00 kworker/u5:1
S  1000 19091  1383  2  80   0 191704 1198828 futex_ ?     00:00:15 chrome
S     0 19101     2  0  80   0     0     0 -      ?        00:00:00 kworker/1:1
S  1000 19111  1383  0  80   0 91552 1163491 futex_ ?      00:00:00 chrome
S  1000 19147  1383 10  80   0 212992 1201448 futex_ ?     00:01:15 chrome
S  1000 19160  1383  0  80   0 98884 1164073 futex_ ?      00:00:00 chrome
S  1000 19170  1383  0  80   0 90784 1163049 futex_ ?      00:00:00 chrome
S     0 20343  1978  0  80   0   932  2348 -      ?        00:00:00 sleep
S     0 20442     2  0  60 -20     0     0 -      ?        00:00:00 kworker/u5:2
S     0 20545     2  0  80   0     0     0 -      ?        00:00:00 kworker/u4:0
S     0 20835     2  0  80   0     0     0 -      ?        00:00:00 kworker/0:1
S  1000 20960  7562  0  80   0   660  1501 hrtime ?        00:00:00 sleep
S     0 20964  1509  0  80   0   912  2348 -      ?        00:00:00 sleep
S     0 20968  1681  0  80   0  1016  2348 -      ?        00:00:00 sleep
S     0 20972  1845  0  80   0  1020  2348 -      ?        00:00:00 sleep
S     0 20976  1713  0  80   0  1028  2348 -      ?        00:00:00 sleep
S  1000 20998  7549  0  80   0   648  1501 hrtime ?        00:00:00 sleep
R  1000 21001 11629  0  80   0  1544  6908 -      pts/4    00:00:00 ps
S  1000 23694  1383  1  80   0 87868 1175596 futex_ ?      00:02:18 chrome
S  1000 23749  1383  0  80   0 83116 1170670 futex_ ?      00:00:28 chrome
S  1000 23759  1383  0  80   0 66668 1172463 futex_ ?      00:00:09 chrome
S  1000 23769  1383  0  80   0 58720 1164460 futex_ ?      00:00:03 chrome
S  1000 23789  1383  0  80   0 122960 1192755 futex_ ?     00:01:21 chrome
S  1000 23852  1383  0  80   0 126568 1202639 futex_ ?     00:01:26 chrome
S  1000 26043  1383  0  80   0 88156 1175099 futex_ ?      00:00:04 chrome
S  1000 26601  7630  0  80   0 10900 127488 poll_s ?       00:00:39 xfce4-terminal
S  1000 26605 26601  0  80   0   512  3717 -      ?        00:00:00 gnome-pty-helpe
S   297 26972     1  0  80   0  1160 10622 -      ?        00:00:00 smbproviderd
S  1000 27317 29467  0  80   0 131688 718141 poll_s ?      00:04:02 Web Content
S  1000 27610 29467  0  80   0 101300 727381 poll_s ?      00:01:33 Web Content
S  1000 27663 29467  0  80   0 126132 753163 poll_s ?      00:02:16 Web Content
S  1000 28931 26601  0  80   0  1484  6024 wait   pts/5    00:00:00 bash
S  1000 29467  7625  1  80   0 269188 895209 poll_s ?      00:32:18 firefox
S  1000 29555 29467  0  80   0 251660 794902 poll_s ?      00:15:58 Web Content
S  1000 29583 29467  0  80   0 14820 640549 poll_s ?       00:00:13 WebExtensions
S  1000 29616 29467  1  80   0 124460 869475 poll_s ?      00:39:14 Web Content
S  1000 29644 29467  0  80   0 106040 674832 poll_s ?      00:00:57 Privileged Cont
